curve_id,family,normalized_rmse,noise_fraction,extrapolated_to_160,params
NU00342,weibull,0.0267935542536969,0.0273957298936089,True,"[341.52436097618477, 47.6260711990741, 0.7849370931250267]"
NU00343,weibull,0.0175426591712714,0.0172002259838984,True,"[214.69076970322956, 4.374731356643525, 0.3928742833534729]"
NU00344,weibull,0.0355502387311689,0.0351526663216483,True,"[298.2352833749464, 0.6388182790465737, 0.24285375919457414]"
NU00345,weibull,0.0370868114230231,0.0386937369641715,True,"[373.61186142554135, 1.6171624775234938, 0.10001000000000096]"
NU00346,weibull,0.0302235928330091,0.0290427715583537,True,"[167.54593948919594, 3.13528228819144, 0.3568848729614597]"
NU00350,weibull,0.0263534276421736,0.0259694344360992,True,"[26.90198619893242, 3.26615750885822, 0.4235016888357051]"
NU00351,weibull,0.0190807725451153,0.0182027489118607,True,"[55.3468487238012, 0.0100000000000012, 0.24637125469673732]"
NU00352,weibull,0.0111452670245175,0.0100821357891051,True,"[30.731427324793977, 1.743727624873866, 0.5921340272423975]"
NU00353,weibull,0.0108296366855673,0.0104470655437791,True,"[26.64113301986635, 0.010000000000031808, 0.15031641998382028]"
NU00354,weibull,0.0064888783788656,0.0062521573920065,True,"[30.93867481987789, 0.4805903037266472, 0.3034065038795906]"
NU00355,weibull,0.0152981865112961,0.0150404943781822,True,"[46.18801962292402, 0.010000000000000142, 0.20432713439695652]"
NU00356,weibull,0.0116719468118032,0.0116713451912318,True,"[32.10165465248653, 1.269860491070758, 0.5675914612555659]"
NU00357,weibull,0.0243546576742461,0.0222687456353369,True,"[17.279985031687968, 0.010000000000000005, 0.3687307660305426]"
NU00358,weibull,0.0120225855660162,0.0111890488025215,True,"[95.09287530792236, 0.6102388191920445, 0.4668803753524344]"
NU00359,weibull,0.005565493162612,0.0050691237874394,True,"[86.62590004571479, 1.1417596165522677, 0.655031042947429]"
NU00360,weibull,0.0262810281057687,0.0234925173252689,True,"[94.5299664650576, 0.010000000000000009, 0.3478410797226316]"
NU00361,weibull,0.0225214080549751,0.0219329529581591,True,"[85.84296501194636, 0.010000000000002287, 0.4040481224857181]"
NU00362,weibull,0.01430562323688,0.0132988046559304,True,"[68.19985229377298, 0.010000000000000042, 0.292414127594218]"
NU00363,weibull,0.0263804051227929,0.0248116967485733,True,"[44.12381884599882, 0.01000000000000004, 0.2660338904751033]"
NU00364,weibull,0.0172312818695932,0.0171623252656118,True,"[31.325358656879125, 3.3124267883001193, 0.6125843871596989]"
NU00365,weibull,0.0187194640493489,0.0179245006652394,True,"[28.09303267811605, 2.6185315273576104, 0.6609948551450965]"
NU00366,weibull,0.0370908863541442,0.0332406438669322,True,"[27.78415105060441, 1.562074254579854, 0.47914217889808963]"
NU00367,weibull,0.0316904196625513,0.0317318270768248,True,"[24.10849929321299, 0.892897911315944, 0.535985393575003]"
NU00368,weibull,0.0399397147153734,0.0386875817181762,True,"[17.8599187100737, 0.010000000004946445, 0.3203494753891852]"
NU00369,weibull,0.0799553199057748,0.0766696871652903,True,"[12.8271090075121, 0.0100000000000002, 0.21116680470893512]"
NU00370,weibull,0.0059985926070507,0.0056489893025284,True,"[99.81744961180831, 2.1593879719258826, 0.8097788119732457]"
NU00371,weibull,0.0044634152193207,0.0040985099788122,True,"[67.41118199156324, 1.0890742779674434, 0.5815918635730811]"
NU00372,weibull,0.0128603637546483,0.0115597907919689,True,"[55.95916989330128, 0.5122396866730592, 0.4712443988131173]"
NU00373,weibull,0.0163538929300627,0.015235870784238,True,"[47.336098371343326, 1.589953523474727, 0.6382259435900092]"
NU00389,weibull,0.0114631276716653,0.0110705162169364,True,"[53.533519938160616, 1.3018644243227246, 0.4136936018581939]"
NU00390,weibull,0.0174220419754788,0.0171334221277428,True,"[28.06493384322885, 1.9012948382511912, 0.5204646994214406]"
NU00391,weibull,0.0158427255380896,0.015585957925839,True,"[19.10971667787636, 2.0046308720126103, 0.5196839909975206]"
NU00392,weibull,0.018403962281429,0.0185032853517202,True,"[19.594253131401086, 2.0460898357624475, 0.4966551239774073]"
NU00414,weibull,0.0490676259507253,0.0496976251603335,True,"[13.032668270566267, 3.1733824692406247, 0.5392098170487828]"
NU00415,weibull,0.0255978610922211,0.0248297252792005,True,"[29.381679939061826, 0.010000000000009246, 0.13095529228797165]"
NU00416,weibull,0.0550730144569232,0.0585544116574869,True,"[5.737319847944828, 4.600741584613823, 0.7643652643959468]"
NU00417,weibull,0.0564623436564196,0.0586133891289892,True,"[8.188059557917667, 3.6508471351851384, 0.8199113706878438]"
NU00418,weibull,0.0495935173881152,0.0502537066865329,True,"[7.1054126896895875, 0.9787480952605233, 0.45717106340380587]"
NU00419,weibull,0.0320703526932475,0.0322924889052742,True,"[8.938090064407733, 3.6275722475554177, 0.7734086278944322]"
NU00420,weibull,0.019111470342693,0.0190990931888001,True,"[7.004536345071112, 4.216588307254749, 0.7879441549910761]"
NU00421,weibull,0.0514940507278115,0.054011792826661,True,"[9.34317619768872, 0.010000000000004419, 0.3778460559190316]"
NU00422,weibull,0.0310891467588882,0.0274792255290823,True,"[21.609149881837887, 2.5153808767095804, 0.6310815983301831]"
NU00423,weibull,0.0116032663815896,0.0100638214690358,True,"[41.62215294301253, 1.3628560873946005, 0.4422618498007386]"
NU00424,weibull,0.0208604273760232,0.0193427957623813,True,"[11.000289815873098, 3.1777458683322597, 0.64218384276251]"
NU00426,weibull,0.0243722474160431,0.0240581572564042,True,"[11.244915536748504, 2.417498675728322, 0.5902487043863361]"
NU00427,weibull,0.0344717010594086,0.033416468010708,True,"[13.926306159971576, 0.010000000000000026, 0.2502476278047451]"
NU00428,weibull,0.0349965584427584,0.0342571111546178,True,"[7.457572107556366, 0.010000000000000783, 0.25088754529989105]"
NU00429,weibull,0.0679243666864479,0.0649795923750546,True,"[8.258015743246458, 0.010000000000000562, 0.24387521987880836]"
NU00430,weibull,0.0124535280359222,0.0119290805094647,True,"[16.077042283438217, 1.1286605406728014, 0.3675632019531637]"
NU00431,weibull,0.015614084184319,0.0149435553429071,True,"[10.344220627397661, 1.7886501885205577, 0.5370726701468997]"
NU00432,weibull,0.0179264611673255,0.0176557878246334,True,"[16.04222305212387, 3.323736502890417, 0.5917028627756574]"
NU00435,weibull,0.0240361003832771,0.0241477740752185,True,"[9.057916179209665, 4.252533528065455, 0.9378771261045152]"
NU00439,weibull,0.0272815854170115,0.0264884943168388,True,"[11.535338816003915, 2.15384733852978, 0.6188280905321314]"
NU00445,weibull,0.0351113156384396,0.0338632510231079,True,"[24.26243083922546, 0.36540405240498414, 0.23221864482951698]"
NU00446,weibull,0.0320757954619856,0.0311463899811871,True,"[8.856623227914865, 0.26936493070212436, 0.3902542347522689]"
NU00448,weibull,0.0209664376162573,0.0202254353370909,True,"[25.397610139757223, 1.7331565471802863, 0.8013979656424931]"
NU00449,weibull,0.0079519531210593,0.0077203265322379,True,"[48.410102231965034, 1.0399519717710166, 0.4774424779260175]"
NU00457,weibull,0.0295813873635226,0.0294554831504731,True,"[29.726521934378987, 4.566642392422868, 0.4500812902637657]"
NU00458,weibull,0.0111284927923158,0.0108689393413542,True,"[24.982679137730262, 4.54497401801909, 0.405311481481974]"
NU00459,weibull,0.0152298700034347,0.0151471922602125,True,"[24.935365551363326, 5.4821488310907664, 0.5038656882542307]"
NU00462,weibull,0.0223962789139367,0.0225947471549269,True,"[25.969863859139913, 6.255733898731875, 0.5649278526510483]"
NU00464,weibull,0.0142261275809148,0.0139465863804274,True,"[26.113118732948237, 4.559580355673741, 0.4553340122055827]"
NU00496,weibull,0.0110177925125971,0.0103565143313785,True,"[23.235578937841744, 0.010000000000000002, 0.23645347364174882]"
NU00497,weibull,0.0114525193908088,0.0112796342896191,True,"[16.659996201918702, 0.010000000000000002, 0.27905822409610054]"
NU00498,weibull,0.0126288899926193,0.0123511125075296,True,"[12.933374749056702, 0.08717542915537202, 0.3428421261136538]"
NU00522,weibull,0.0289957287017643,0.0275134838951791,True,"[71.41140978266475, 3.46411642250806, 0.49397602164996357]"
NU00523,weibull,0.0249996693395387,0.0250276395802985,True,"[39.86999247845369, 0.9102973486701035, 0.26530699575855665]"
NU00524,weibull,0.0830555152279009,0.0900843879031402,True,"[20.824731917157504, 0.01000000000000155, 0.5005071167321101]"
NU00526,weibull,0.0175451207960016,0.015529405602859,True,"[110.37693039394942, 1.587105467123221, 0.3263134000216645]"
NU00527,weibull,0.0176803866280898,0.01666975204573,True,"[82.82604783913388, 2.6429465749148413, 0.4205977071694628]"
NU00528,weibull,0.0241689408925149,0.0239567869939239,True,"[45.22064482848164, 1.8883126053410673, 0.33998714919527984]"
NU00529,weibull,0.056785100384665,0.0545949002220187,True,"[24.85651528721614, 0.010000000000076784, 0.2129429278204136]"
NU00543,weibull,0.013209542358496,0.0131013110278212,True,"[80.09333837337256, 2.6826105196617456, 0.7132768810778122]"
NU00544,weibull,0.0246152957809705,0.0238952074893315,True,"[74.8465375894506, 2.2251716914032476, 0.6174489209290449]"
NU00545,weibull,0.0246695362067392,0.0239719645117991,True,"[65.23039671100344, 1.8613289970920315, 0.588029078119119]"
NU00546,weibull,0.028744966260819,0.0290157592208536,True,"[62.68061507340432, 2.856750088833636, 0.681529055778148]"
NU00547,weibull,0.0435012805950329,0.0435334182949135,True,"[36.60455743332237, 2.8964013906084554, 0.515535273108108]"
NU00548,weibull,0.0257278877737751,0.0251159069085966,True,"[24.66397389311432, 1.9247994986394361, 0.5704339831274062]"
NU00549,weibull,0.0348265960960165,0.0360402932055202,True,"[19.511625327859974, 5.1840386004063745, 0.6318513775112583]"
